reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1449491_at	Card10	0.7933590155	0.0003056525	0.0398417166
1430943_at	6030498E09Rik	-2.2122493426	0.0003086142	0.0401118364
1426753_at	Jade1	-0.7348760434	0.0003098144	0.0401521269
1416895_at	Efna1	0.9493140434	0.0003117387	0.0402857479
1423854_a_at	Rasl11b	-0.8778959981	0.0003168448	0.0407685636
1451206_s_at	Cytip	0.7520230432	0.0003172827	0.0407685636
1436913_at	Cdc14a	0.7568759013	0.0003218631	0.0412396273
1436966_at	Peli2	-1.0015700477	0.0003228177	0.041244765
1435584_at	A630033H20Rik	0.7968113885	0.0003248005	0.0413808672
1416343_a_at	Lamp2	0.7737871318	0.0003317899	0.0421522707
1450234_at	Ms4a6c	-1.2532819104	0.0003347368	0.0423751124
1434277_a_at	Ypel2	0.7713720455	0.0003354231	0.0423751124
1447725_at	C030034E14Rik	1.3767445183	0.0003372665	0.0424522509
1418872_at	Abcb1b	1.1294681773	0.0003387189	0.0424522509
1421073_a_at	Ptger4	1.3302176729	0.0003388575	0.0424522509
1433586_at	Rgmb	1.0899544609	0.0003417918	0.0426593002
1454685_at	Gpr146	0.7880567826	0.0003430021	0.0426593002
1426914_at	Marveld2	0.7152883461	0.0003436708	0.0426593002
1416591_at	Rab34	1.3417895302	0.0003442936	0.0426593002
1441168_at		2.6416695425	0.0003490892	0.0431349977
1417837_at	Phlda2	-1.0167884642	0.0003669899	0.0452229866
1448502_at	Slc16a7	-0.7882978766	0.0003739104	0.0459502212
1425548_a_at	Lst1	-1.0999447752	0.0003750487	0.0459648683
1440475_at	AW011738	-0.8324488014	0.0003766955	0.0460415805
1415923_at	Ndn	0.7006104939	0.0003796854	0.046159788
1423233_at	Cebpd	1.243171539	0.0003799412	0.046159788
1451050_at	Nt5c3	0.7198186751	0.000380733	0.046159788
1425263_a_at	Mbp	-0.7094865145	0.0003819268	0.0461803775
1416572_at	Mmp14	0.875494855	0.0003847356	0.0463956208
1430887_s_at	1700112E06Rik	0.8848124507	0.000389786	0.0468787254
