reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1417392_a_at	Slc7a7	1.3869263701	9.51611482396064e-05	0.0149023019
1417507_at	Cyb561	1.7530671354	9.59663154007301e-05	0.0149763903
1460687_at	Kmt5a	-0.8667580766	9.95768795504924e-05	0.0154678149
1450138_a_at	Serpinb6a	1.0153352757	9.98012047419232e-05	0.0154678149
1434366_x_at	C1qb	-0.8659143701	0.0001017869	0.015708198
1441396_at	B3galt1	1.1869121358	0.0001022224	0.015708198
1420664_s_at	Procr	0.7715388808	0.0001023971	0.015708198
1458866_at	Tmem215	1.4925051668	0.0001036137	0.0158409507
1434931_at	Neo1	1.9907984559	0.0001051468	0.015995056
1452190_at	Prcp	0.8169499752	0.000105331	0.015995056
1451140_s_at	Prkag2	0.898850455	0.0001062163	0.016049939
1425811_a_at	Csrp1	1.6136114425	0.0001064041	0.016049939
1436907_at	Nav1	1.4412178059	0.0001090234	0.0163902147
1454745_at	Arhgap29	1.3229887576	0.0001097902	0.0164427967
1424872_at	Zfp932	1.0230299712	0.0001101624	0.0164427967
1432198_at	Prune2	1.6313331085	0.0001104669	0.0164427967
1438224_at	Zswim5	1.7314293682	0.0001110689	0.016478028
1423088_at	Tmod3	0.7926427881	0.0001117683	0.016527416
1426260_a_at	Ugt1a1///Ugt1a6b///Ugt1a9///Ugt1a5///Ugt1a7c///Ugt1a10///Ugt1a6a///Ugt1a2	-1.3260065766	0.0001134526	0.0167216572
1455706_at	Stxbp4	1.3768339454	0.000114159	0.0167709662
1426538_a_at	Trp53	-1.068587843	0.000116166	0.0170103933
1444615_x_at	Runx1t1	2.046420376	0.0001171971	0.0171058413
1420760_s_at	Ndrg1	1.0050021363	0.0001208093	0.0175761871
1450655_at	Pten	0.7495862848	0.0001220593	0.01770095
1417500_a_at	Tgm2	1.1856621367	0.0001240581	0.0178278956
1418912_at	Plxdc2	-0.9129743613	0.0001240653	0.0178278956
1448852_at	Rgn	2.3900865222	0.0001241205	0.0178278956
1418035_a_at	Prim2	-0.9572484536	0.0001258265	0.0180155596
1422901_at	Mgea5	0.961062303	0.0001263558	0.0180270743
1455439_a_at	Lgals1	-2.1999543703	0.0001267063	0.0180270743
1439808_at	Ipcef1	-1.1151247317	0.0001279039	0.0181402274
1438168_x_at	Ddx39	-0.7118533644	0.0001284948	0.0181425891
1454742_at	Rasgef1b	1.0927245181	0.0001287251	0.0181425891
1435820_x_at	Ddr1	1.1887020771	0.0001298863	0.0182492316
1423521_at	Lmnb1	-0.8194587541	0.0001312568	0.0183326336
1454811_a_at	Serinc1	1.1954269536	0.0001329151	0.0183326336
1435660_at	LOC664787	1.0457868687	0.0001331344	0.0183326336
1443941_at	Ccdc149	0.6728628208	0.000133234	0.0183326336
