Genes	direction
1500010J02Rik	-1
Tnrc11	-1
1110028N05Rik	-1
6430706D22Rik	-1
Ada	-1
Srp14	-1
BG067018	-1
BG065701	-1
4833441J24Rik	-1
Socs2	-1
Mto1	-1
1700030K09Rik	-1
Prkab1	-1
Deaf1	-1
Dusp18	-1
2810442O16Rik	-1
Nes	-1
Tctex1	-1
Ech1	-1
Hrbl	-1
Rasgrp2	-1
Ptk9l	-1
AFFX-r2-Ec-bioB-3	-1
Rpl14	-1
Evi5	-1
Ndufa7	-1
2410011G03Rik	-1
Vps29	-1
Zdhhc12	-1
BB077439	-1
1110012M11Rik	-1
Ddx46	-1
Capg	-1
Rpl14	-1
Gpx4	-1
BG066184	-1
9930033H14Rik	-1
Mllt10	-1
Noc4	-1
Fbp1	-1
Gmip	-1
2410011G03Rik	-1
Fkbp4	-1
BB027914	-1
Itpr5	-1
Mrps9	-1
Arrb2	-1
Asc	-1
Gadd45b	-1
Dnm2	-1
na	-1
Edf1	-1
Lss	-1
Ppil2	-1
BC020092	-1
Adrbk1	-1
Rpl29	-1
Phgdh	-1
Clcn5	-1
2810409H07Rik	-1
Vezf1	-1
2310040G17Rik	-1
AI450757	-1
Hoxa7	-1
A930017K11Rik	-1
BC027249	-1
Orc6l	-1
Solh	-1
Rpl35	-1
Dnase2a	-1
Ncf4	-1
Foxp1	-1
C530046L02Rik	-1
Sssca1	-1
Vps29	-1
Lztr1	-1
Rras	-1
2610209M04Rik	-1
Psen1	-1
Ppie	-1
D9Mgi7	-1
Timeless	-1
Riok1	-1
Sycp3	-1
Chk	-1
BC002286	-1
Pabpc1	-1
Nkx2-3	-1
BC014695	-1
Aatf	-1
Zfp207	-1
1190005L06Rik	-1
Ttll1	-1
2700082D03Rik	-1
Ninj1	-1
Adar	-1
1200009A02Rik	-1
Cog2	-1
Stard8	-1
Fstl1	-1
1110038F14Rik	-1
Ureb1	-1
Eif2ak1	-1
Cacna1a	-1
9930033H14Rik	-1
Atp6v1g1	-1
Snrpd2	-1
Rpl35	-1
AFFX-18SRNAMur/X00686_M	-1
Nfkbia	-1
Timm17a	-1
Zfp207	-1
Lmna	-1
BG066459	-1
0610006I08Rik	-1
Pstpip1	-1
Sec61b	-1
Sfxn2	-1
Ris2	-1
AFFX-BioC-5	-1
Rpl41	-1
Hist4	-1
Ogt	-1
