geneSymbol	direction
Mthfd1	-1
Ankrd11	-1
Ifitm1	1
Zfyve9	1
Wdr67	-1
Vat1	1
Klf6	-1
Tpd52	1
Anxa2	-1
2610002D18Rik	-1
Gm10430	1
Pola2	-1
Tspan17	1
Brpf3	-1
Pbx1	1
Rps6ka3	1
Lmbrd1	1
Phf12	-1
Ncapd3	-1
Ubac2	1
Mphosph9	-1
Gm16576	-1
Fgd2	-1
Hoxb3	1
Git2	-1
Gulo	1
Heatr8	1
Raver2	1
Arid4a	-1
1190002F15Rik	-1
Ly6e	1
Syt11	1
Cdk5rap2	-1
Zfp92	1
AI429214	1
Mttp	1
Ms4a6c	-1
Hrh2	1
Mamdc2	-1
Scube3	-1
Tspan2	-1
Slc26a11	-1
Tmod3	1
Cd55	1
Cdc42ep5	1
Gm7932	1
Serpinh1	1
Sh3pxd2b	-1
Cenpi	-1
Aph1c	1
Mgll	-1
Spen	-1
Zfp964	1
Unc13b	1
Pik3ap1	-1
Ptger3	1
C2cd3	-1
Pmf1	-1
Rasgef1b	1
Efcab4b	-1
Spint2	1
Topbp1	-1
Optn	-1
Apobr	-1
Cks2	-1
Slc15a2	-1
Wars2	1
Nlrp1a	-1
Tpr	-1
Kcnb1	1
Ptk2	1
Rps14	1
Fgfr3	1
Crisp2	1
Spire2	1
Ccdc18	-1
Lamb2	-1
Ninj1	1
Cyp4f18	-1
D7Ertd715e	1
Arrdc4	1
Gm15800	-1
Ldha	1
Arid1a	-1
Axl	-1
Gpc3	1
Adc	1
AK140192	1
Fam164a	1
Ahr	1
Ctsc	1
Jub	1
Gm9294	1
Mcts2	-1
Brpf1	-1
Pgcp	1
Tcp11l2	1
Abca5	1
Arvcf	-1
Cldn25	1
Rbbp8	-1
4930427A07Rik	-1
Art3	1
Rbm11	1
Thsd4	1
Fbxo5	-1
Phf14	-1
Herc1	-1
Hsd11b1	-1
G0s2	-1
Tff2	1
Cenpa	-1
Mcm7	-1
Mtap7d1	-1
Arhgap6	1
1110003E01Rik	1
Zc3h18	-1
Pold1	-1
E2f5	1
Tmem37	1
Fam174b	1
1110046J04Rik	1
Fgd5	1
Csf2rb2	-1
Ttc26	1
2510003D18Rik	-1
AK080292	-1
Kcnab2	-1
Fam83h	1
Gnai3	1
Tm9sf2	1
5830418K08Rik	-1
Cdc7	-1
Cenph	-1
Ppargc1b	-1
BC016579	-1
Zfp946	1
Cep55	-1
Azi1	-1
1810033B17Rik	-1
Zfp719	1
Tnrc18	-1
Clvs1	1
Angel1	1
Slamf8	1
Txnip	1
Sema4a	-1
Ggt5	-1
Smg5	-1
Nrbp2	1
9-Mar	1
Mprip	-1
Rnf11	1
Pan3	-1
A630055G03Rik	-1
Fbxo48	-1
Ffar2	1
AW112010	1
Rapsn	-1
C1qtnf4	1
Sh2d3c	-1
BC013712	-1
Insig1	1
Gatsl3	1
Rpsa-ps4	1
Unc13a	1
Btk	-1
Mapk13	1
Best1	1
Brip1	-1
4931406C07Rik	1
Tgtp2	1
Xlr3b	1
Mtbp	-1
Irak2	-1
Arhgef4	-1
BC062895	1
Hp	-1
Ebpl	1
Carhsp1	-1
Fcer1g	-1
Rps24-ps3	1
4930523C07Rik	-1
Cyp27a1	-1
Gm4841	1
Gm6790	1
6030445D17Rik	1
Hsd17b10	1
Slc25a38	-1
Klf10	1
Palb2	-1
Hmgn5	-1
G630025P09Rik	1
St8sia2	-1
H2afx	-1
Dusp22	-1
Arhgap4	-1
Naprt1	1
Parp1	-1
Ppp1r3b	1
Ctnnal1	1
Ccdc41	-1
E130012A19Rik	1
Cenpm	-1
Fam65a	-1
1810014F10Rik	1
Bcorl1	-1
2700099C18Rik	-1
Grina	1
Slc26a1	-1
Unc5a	1
Fmnl1	-1
Grcc10	1
Sc4mol	1
Sipa1	-1
Myct1	1
C77080	-1
Vill	1
Calcrl	1
Aldh1l1	1
Ccnb2	-1
Fam43a	1
Il18r1	-1
9130023H24Rik	1
Fanci	-1
Pi16	-1
Mybl1	-1
Tmem102	1
Smad6	-1
Cnot3	-1
Slc16a11	-1
Slfn9	-1
Marveld2	1
Mtap2	1
Serpina3f	-1
BC042727	1
Fjx1	1
Flnb	-1
Vpreb3	-1
Usp49	-1
Fes	-1
Mcf2	-1
Podnl1	1
Smarcd3	1
Golga3	-1
Cdk1	-1
Clec4a3	-1
Cotl1	-1
Pign	1
St3gal1	1
AK050164	-1
Mcm3	-1
Esam	1
Sh3bp4	-1
1520402A15Rik	1
Cyth1	-1
1700001L05Rik	-1
Ube2w	1
Cdc14b	1
Laptm4a	1
Zmynd8	-1
5033406O09Rik	1
Tk1	-1
Glrp1	-1
Chd3	-1
Tlr6	1
Cmtm4	1
Dna2	-1
Odf2	-1
Slfn10-ps	-1
Abcb1b	1
Trpc2	-1
Pitpnc1	-1
Srgn	1
Zfp13	1
Syce2	-1
Igfbp4	-1
Hirip3	-1
Myo19	-1
Zeb1	-1
Gca	1
A430035B10Rik	1
Cmklr1	1
Kif18a	-1
Ccdc112	1
Ms4a6b	-1
Zfp300	1
2310046K01Rik	1
D0H4S114	1
Tmed7	1
Xrcc3	-1
Mdn1	-1
Acss1	-1
Aebp1	1
Cenpo	-1
Pdxp	-1
Acp5	-1
Rcbtb2	1
Tmem51	1
Chdh	-1
B3gnt7	-1
Lgmn	1
Arid3b	-1
Dok1	1
Tfpi	1
Chd7	1
Lbp	1
Pgrmc1	1
