Gene	Freq_group	Log2FC
Pcbp4	2	-0.6756957456686815
1110012E06Rik	1	-1.0818864468864462
AA717264	1	-1.2845299145299143
Lsm10	1	-1.9821245421245415
NA	1	-1.0626312576312575
Fasn	1	-2.4139743589743587
Xab2	1	-1.592728937728937
Ptprv	2	-1.4958618440801588
2210408E11Rik	1	-1.2366239316239318
9130022B02Rik	1	-1.2752503052503044
Thy28	1	-1.2366239316239318
Siat8d	1	-1.497380952380952
Col4a2	3	-0.9944501307332926
Xrcc1	2	-0.9317910820600732
Pola2	3	-1.099637417821042
Stub1	1	-1.180482295482296
Dtx2	1	-1.2819780219780221
Rnpepl1	1	-2.113894993894995
Pafah1b3	2	-2.1918406593406594
BC013712	2	-0.8406673394397435
Rpp20	1	-2.4114224664224664
Siva	1	-1.190457875457875
2810405K02Rik	1	-1.586697191697192
2210013M04Rik	1	-1.6364590964590962
Eif2b2	1	-1.1918498168498166
Nup133	2	-1.168305860805861
Cope	1	-1.6337912087912085
Prpf8	1	-1.2336080586080589
Dgka	1	-1.4610744810744807
2810052M02Rik	1	-1.5857692307692306
AI255170	1	-1.256807081807082
Pcyt2	1	-2.077240537240537
Psmd3	1	-1.582637362637362
2600017A12Rik	1	-1.052307692307692
Wim	1	-1.8386385836385835
Tnip1	2	-0.8278370540073872
Bckdk	1	-1.0001098901098904
Tia1	2	-1.5822008547008548
Drg2	2	-2.0101892551892555
Zfp289	1	-1.1170329670329668
2310005K03Rik	1	-1.6945726495726494
Ddx54	1	-1.5525946275946272
Nab2	1	-0.9324847374847387
Fcho1	2	-1.1471199184446883
Slc19a1	1	-0.9496520146520144
8430419L09Rik	1	-1.2881257631257639
2310020H20Rik	1	-1.0758547008547004
BC017607	1	-1.9785286935286936
BG084182	1	-3.837698412698413
Nagk	1	-1.7633577533577531
2610024N24Rik	1	-1.1333882783882794
Fes	2	-0.9624946808885835
Il25	1	-1.4404273504273508
Polr2c	1	-1.7019963369963373
Falz	1	-2.4364774114774117
LOC382073	1	-2.56523199023199
Csf2ra	1	-1.4275518925518926
Trabid	1	-2.1158669108669113
1700023B02Rik	1	-2.0296825396825398
8430432M10Rik	1	-1.697588522588522
Abcf1	2	-0.8148010788341269
Dnttip1	1	-1.6835531135531132
E130315B21Rik	1	-3.0634310134310136
1700001C14Rik	1	-2.1456776556776553
