Genes,Bersenev, Chambers, Flach, Grover, Kirshner, Kowalczyk, Lazare, Mann, Maryanovich, Norddahl, Sun, Wahlestedt,Avg,Consistency,Order
Plscr1,NA,1.337793458,NA,NA,NA,NA,0.897903565,0.574496069,1.091893549,1.130145488,0.882167166,NA,0.985733216,6,55
Serpinb8,0.83836546,NA,NA,NA,NA,NA,NA,NA,1.296815876,1.317379002,0.505741957,NA,0.989575574,4,142
Pdgfd,NA,NA,NA,NA,NA,NA,NA,NA,0.741543748,1.191085608,0.953808255,1.165718559,1.013039042,4,210
Trim47,1.07015965,NA,NA,NA,NA,0.427830816,NA,NA,NA,1.299725853,1.043105948,1.229408716,1.014046197,5,79
Stxbp4,0.723509623,NA,NA,NA,NA,NA,NA,NA,1.284323365,1.345092773,0.623351294,1.113645014,1.017984414,5,90
Efna1,NA,1.611208437,NA,NA,NA,0.590790793,NA,NA,1.451956679,0.599888541,1.021319025,0.949314043,1.03741292,6,53
Vmp1,NA,NA,NA,NA,NA,NA,NA,0.720700435,NA,1.339417253,1.045442321,1.045395463,1.037738868,4,196
Cd9,0.641443793,2.22371154,NA,NA,NA,NA,NA,NA,0.753702788,NA,0.547142359,NA,1.04150012,4,154
Egr1,1.315720823,NA,0.729313961,1.327757844,NA,NA,NA,NA,NA,NA,0.879140781,NA,1.062983352,4,126
Bcl6,1.253952236,NA,NA,NA,NA,NA,NA,NA,0.889784953,1.104134214,1.054600138,NA,1.075617885,4,128
Oxr1,NA,1.27846194,NA,NA,NA,0.565020226,NA,NA,NA,1.324111423,NA,1.210012099,1.094401422,4,168
Cytip,NA,1.872375976,NA,NA,NA,NA,NA,NA,0.826795963,1.025371971,1.001111387,0.752023043,1.095535668,5,104
Tacstd2,1.22927803,1.573129141,NA,NA,NA,0.373577707,NA,NA,1.118246233,1.553932657,0.739705531,NA,1.097978216,6,44
Pbx3,0.879266164,1.882558768,NA,0.587900704,NA,NA,0.958007746,NA,1.215961414,1.045447531,1.165625987,1.102392205,1.104645065,8,20
Mllt3,NA,2.186890075,NA,NA,NA,NA,NA,NA,NA,0.674678217,0.579021956,0.9916927,1.108070737,4,165
Casp12,1.161391659,NA,NA,NA,NA,NA,NA,NA,1.275082362,1.079238775,0.896519056,1.133713235,1.109189017,5,75
Cyp26b1,NA,NA,NA,0.582075798,NA,NA,1.338519777,0.294584379,1.623154593,NA,1.721317053,NA,1.11193032,5,112
Stom,0.941187979,2.637011423,NA,NA,NA,NA,0.887941103,NA,0.618559649,NA,0.519319169,NA,1.120803865,5,83
Lsr,0.933019041,NA,NA,NA,NA,NA,NA,NA,0.958077933,1.155968516,1.448290444,NA,1.123838984,4,137
Plek,1.010404159,1.088678099,NA,1.626472744,NA,0.35579959,NA,NA,1.267315027,1.796448154,0.753840697,NA,1.128422638,7,31
Dennd5b,0.561840484,NA,NA,NA,NA,NA,NA,NA,0.930463293,1.993923954,0.689270486,1.492734458,1.133646535,5,99
Ampd3,NA,NA,NA,NA,NA,NA,NA,NA,0.996510484,1.321158896,0.848818039,1.39052685,1.139253567,4,200
Lamp2,NA,2.606917875,NA,NA,NA,NA,NA,NA,0.613592727,0.822614795,0.988843605,0.716144818,1.149622764,5,108
Myo1e,0.863510272,NA,NA,NA,NA,NA,NA,NA,1.895375905,0.85275,1.002234001,NA,1.153467545,4,140
Cyyr1,1.191653799,NA,NA,NA,NA,NA,NA,NA,NA,1.197684832,0.721432578,1.527442029,1.15955331,4,131
Rab34,NA,NA,NA,NA,NA,NA,NA,NA,1.842628856,0.808687138,0.730990405,1.34178953,1.181023982,4,197
Rorc,NA,NA,NA,NA,NA,0.364905211,NA,0.565022466,2.006912109,1.117528708,1.646343555,1.400878084,1.183598355,6,59
