Genes,Bersenev,Chambers,Flach,Grover,Kirshner,Kowalczyk,Lazare,Mann,Maryanovich,Norddahl,Sun,Wahlestedt,Avg
Rbpjl,0.030459965,0.844753684,0.221622463,NA,NA,NA,0.005525538,NA,6.37E-11,0.89816097,6.80E-19,0.89774776,3.62E-01
Rnase6,0.048347047,NA,0.01942961,1,NA,-0.525927679,NA,0.534689171,NA,0.011090767,NA,0.048185751,1.62E-01
Nckap1,0.011587747,0.537724629,0.067645286,NA,NA,NA,0.939432371,NA,0.72806254,0.012079683,5.71E-09,0.019276557,2.89E-01
Clec1b,0.028624023,0.016859414,0.126096685,NA,NA,NA,0.591430832,NA,0.339906602,0.008432701,0.001492037,0.399230826,1.89E-01
Slc6a15,0.013134691,0.026740369,0.494149872,1,NA,NA,0.897504733,1,0.032103398,0.072561957,3.04E-05,0.055797864,3.59E-01
Pclo,0.045746384,0.306409684,0.317594528,1,NA,NA,0.926873161,NA,0.766921266,0.639666932,0.066981122,0.634175475,5.23E-01
Stxbp4,0.034205776,0.729468122,0.376434824,NA,1,NA,0.569202243,NA,4.69E-14,0.306971834,0.000303389,0.444360245,3.85E-01
Cd86,0.029505307,0.536366427,0.027012081,1,NA,NA,0.959930647,NA,0.00112517,0.04116841,2.70E-10,0.431480489,3.36E-01
Cd37,0.024927795,0.103425039,0.026727785,NA,NA,-0.490895167,0.520264268,NA,0.0477699,0.162013391,4.34E-10,0.432812202,9.19E-02
Abca4,0.028842302,0.57495519,0.136031939,NA,0.049893664,NA,0.038332566,NA,7.03E-16,0.002493373,1.12E-26,0.003729317,9.27E-02
Mmp2,0.022393233,0.028288802,0.239684182,NA,NA,NA,0.997572655,NA,0.001508206,0.123511101,2.83E-10,0.005145321,1.77E-01
Arhgap29,0.007776162,0.587544693,0.07580919,1,1,NA,0.448117445,NA,0.000227116,0.520762256,4.07E-12,0.45149821,4.09E-01
Lsp1,0.039544119,0.124621676,0.127173743,NA,1,-0.613360463,0.957950599,NA,0.018929637,0.223614227,0.022363264,0.085417552,1.99E-01
Arhgap30,0.041036638,NA,0.127418212,1,NA,NA,0.750582243,NA,0.018929637,0.575906052,3.86E-10,0.390070919,3.63E-01
Slc28a2,0.025041374,NA,0.087629721,NA,NA,-0.298274117,0.495605192,NA,0.023674032,NA,3.69E-07,NA,5.56E-02
Arhgef28,0.048347047,0.343408823,0.024449278,NA,1,NA,NA,NA,NA,0.279598683,NA,0.529648802,3.71E-01
Slamf1,0.040248248,0.479947026,0.123464621,1,NA,NA,0.385962717,NA,0.00114512,0.120445743,1.40E-10,0.196092327,2.61E-01
Phactr1,0.044400504,0.414239764,0.3397492,NA,1,0.29387179,NA,1,NA,0.478916104,NA,0.56607399,5.17E-01
Npdc1,0.049081581,0.97663185,0.589389403,1,NA,0.372838599,0.815922318,NA,1.50E-17,0.02112282,6.81E-07,0.068033566,3.89E-01
Tnfsf10,0.039544119,0.740898477,0.230543881,1,NA,NA,0.290897213,0.444843083,0.019958603,0.244913858,2.79E-07,0.315717644,3.33E-01
Ndrg1,0.023656258,0.143600831,0.235945615,0.006946241,1,NA,NA,NA,NA,0.108168049,NA,0.398490681,2.74E-01
Cd9,0.025041374,0.03335599,0.867259361,1,NA,NA,0.998326261,NA,6.37E-07,0.307754056,0.019975837,0.190821172,3.83E-01
Pla2g4a,0.014686857,0.035937695,0.510896202,1,NA,NA,0.559904941,NA,3.61E-05,0.260535072,0.023785817,0.230935439,2.93E-01
Abat,0.028975932,0.566155822,0.164005258,NA,NA,NA,0.970443455,NA,6.76E-11,0.497490945,6.81E-10,0.433543049,3.33E-01
Col4a2,0.014060579,0.058118286,0.55477079,NA,1,NA,0.054158448,1,2.73E-07,0.051219197,1.48E-14,0.030149014,2.76E-01
Abcb1b,0.040262079,0.810079334,0.276864103,1,NA,NA,0.792698331,NA,0.000328109,0.434885445,0.001405995,0.448806363,4.23E-01
Dhx40,0.008988539,0.460993506,0.55477079,NA,1,NA,0.407708072,NA,0.000692282,0.132133165,6.48E-05,0.009184031,2.86E-01
Dennd5b,0.028842302,NA,0.393769255,NA,1,NA,0.151618344,1,0.036391381,0.345872688,6.42E-05,0.449017304,3.78E-01
Evc,0.031249442,0.292477068,0.279060244,1,NA,NA,0.932126147,NA,0.006979977,0.385847524,3.42E-05,0.503484098,3.81E-01
Trpc6,0.045183667,0.167440492,0.840761889,NA,NA,NA,0.977378034,1,0.039931569,0.030897251,0.000948802,0.271193668,3.75E-01
Tsc22d1,0.043473476,0.12761196,0.514216767,1,1,0.499855735,0.934733665,NA,1.34E-08,0.376007168,0.005123343,0.712077012,4.74E-01
Sult1a1,0.215821987,0.008246714,0.055282361,1.35E-09,1,1.715941444,NA,3.44E-10,NA,0.000356873,NA,0.003668771,3.33E-01
Slc14a1,0.284624659,0.452041314,0.014834474,1,NA,NA,0.731235307,NA,0.000883666,0.181573408,0.019771414,0.371381375,3.40E-01
Anxa6,0.053051838,0.15218216,0.228360819,0.064826815,1,-0.428615637,0.859714677,NA,2.26E-07,0.669343234,5.68E-10,0.316931602,2.65E-01
Sdpr,NA,0.015438157,0.055984414,8.62E-11,NA,0.465085676,NA,0.00068077,NA,0.002021183,NA,0.003646221,7.76E-02
Ghr,0.10443707,0.346668832,0.967103578,1,NA,NA,0.186044893,NA,9.54E-06,0.259586679,1.33E-09,0.305217646,3.52E-01
Lgals1,0.05068592,0.034871622,0.026727785,1,NA,NA,NA,NA,NA,0.019402997,NA,0.024999097,1.93E-01
Mef2c,0.436772811,0.115581837,0.043524275,1,1,NA,0.903020305,NA,0.004782696,0.101533031,0.005847859,0.512057521,4.12E-01
Cytip,0.153497521,0.04017638,0.111226089,1,1,NA,0.335337006,NA,7.21E-07,0.028650577,1.64E-10,0.076219493,2.75E-01
Efna1,0.274756958,0.266283887,0.433462006,1,NA,0.590790793,0.925596548,NA,3.34E-10,0.073660384,2.92E-08,0.300078644,3.86E-01
